error,omega_UC,omega_DC,omega_I,alpha_b,rho,pi,epsilon,kappa,delta,sigma_h,sigmaHat_h,rho_C,sigma_y,sigma_l,sigma_w,sigmaHat_y,sigmaHat_l,sigmaHat_w,beta_hp,beta_ph,E50,eta_p,eta_h,zeta,xi,admC,admI,admX_S,transC,transI,transX_S
4550.3036719517295,0.000231481,0.000231481,0.009937518536009216,1.3513359649164715e-05,0.8933966400436765,2.438848206673359,0.005,0.001,0.0,0.083333333,0.6926171615817337,0.3032373986320899,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.039626230376263664,0.051091834964782736,1.0,0.00820220371346869,0.007218504389248109,0.3161607317381925,0.07735346697671007,0.21796273273692726,0.006445799151816034,3.0821008461125485,0.4563326475323205,0.3957658122833596,0.5586319795934541
11796.615835606784,0.000231481,0.000231481,0.004665069242542779,2.0059668361365647e-05,0.03355582212509134,1.4681537751718086,0.005,0.001,0.0,0.083333333,0.031031814959433968,0.156369247129019,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.0955468725540692,0.04059038873769583,1.0,0.007118708538637053,0.0019492028424698442,0.2827293531001433,0.5057068324788915,0.35386680654672553,0.03417686553375171,4.1064735182639245,0.24618339155897415,0.4145202360428569,2.918119989284556
15610.838450581028,0.000231481,0.000231481,0.00988506611078076,4.753793150216018e-05,0.1567502151100303,1.0328005512235066,0.005,0.001,0.0,0.083333333,0.20397749358007533,0.7852326380739929,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.02063833225181795,0.0263071209141518,1.0,0.0011351418779577884,0.002540497716557122,0.629379175832619,0.3921429010223743,0.3796340631918952,0.18270174450021026,4.980774924395893,0.4606092562019395,0.2655219666187145,4.154245381367889
23438.174960724955,0.000231481,0.000231481,0.0022228253135661946,8.344707510511008e-05,0.08639276582214384,3.1288087133591187,0.005,0.001,0.0,0.083333333,0.1914927673878664,0.6179790931060202,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.060751714002428674,0.0273833124765147,1.0,0.009801840163927591,0.00569731972435415,0.1883773533569244,0.7156758896985721,0.056086328431007186,0.12133945642877107,2.6259591651465417,0.4358222825142377,0.08515482600016773,3.90996501828112
31433.36963601437,0.000231481,0.000231481,0.002603411901427746,3.459317448062553e-05,0.4317311721577224,1.3960039814722371,0.005,0.001,0.0,0.083333333,0.17037721787716453,0.9567661961747448,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.06286054902443759,0.052925017450955895,1.0,0.0001590387837875473,0.003370919963198865,0.3707606683696765,0.6153096560121754,0.2481600584370128,0.17637248362294874,0.2376141886943345,0.3387321601405128,0.035428138367551765,3.4332512065418053
37048.058287051834,0.000231481,0.000231481,0.0017100231335825855,4.0749958202128116e-05,0.10081520146620047,1.7887610925219104,0.005,0.001,0.0,0.083333333,0.8386416943331966,0.8212114719603398,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.022419429227199108,0.08434583034516815,1.0,0.0020675697387814475,0.0022018994038717765,0.1961537013694139,0.1826923284099317,0.4962641914543044,0.16071008389084313,4.039457469538673,0.1260261569805622,0.2538960789321392,1.4349012979996738
45033.020311786204,0.000231481,0.000231481,0.007243095800676759,9.152570662751425e-05,0.4693599819057085,2.6418395526169385,0.005,0.001,0.0,0.083333333,0.6098123033100725,0.7382627583125272,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.09090582388602207,0.07919632844598362,1.0,0.006668000929181425,0.004266559459395905,0.2680845233248764,0.7910496626520429,0.009517265530704422,0.2990341158367769,3.5387443717207563,0.2939137571703257,0.349939284713878,1.442193584176482
51414.66856747153,0.000231481,0.000231481,0.00929723711421445,7.764790760543339e-05,0.4035131920054877,1.048480311503745,0.005,0.001,0.0,0.083333333,0.7922106873894194,0.4363903076279373,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.020394551338111168,0.09115133779949212,1.0,0.008393517521512656,0.004231138196892581,0.7778261073428541,0.3420123378737694,0.4123055207538019,0.3937239729543088,4.634307958994828,0.12961126861477745,0.17630925323942884,4.3054333619648535
52982.48158675811,0.000231481,0.000231481,0.005282552806717403,3.041171989448716e-05,0.6973949556176908,1.4517137108188043,0.005,0.001,0.0,0.083333333,0.9758545664322138,0.9704631454210454,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.07078697744624653,0.0804411845744079,1.0,0.005682483907325262,0.003281095710171267,0.9183961828301778,0.11201489560076107,0.1256047360833316,0.3161079656433393,0.013205668981468022,0.424106748821883,0.07222429190721286,2.455479580653552
82430.43457649916,0.000231481,0.000231481,0.008138589056342896,2.1538212239115486e-05,0.3288854847876831,2.0893899008984604,0.005,0.001,0.0,0.083333333,0.4895774842160614,0.4244265018672748,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.07403186304245242,0.0236234047998937,1.0,0.008083928184513667,0.001033925539482068,0.5731310640732309,0.7525024275763659,0.10406511307354084,0.4813365471755813,3.4750521864641426,0.2017854695095253,0.2907761011083858,4.451229332888444
83072.10241214615,0.000231481,0.000231481,0.006977801483972731,4.7903691013594535e-05,0.6875863485613702,1.9533189681508984,0.005,0.001,0.0,0.083333333,0.8849302349301001,0.6766052791171875,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.06300961617070479,0.010931895703208662,1.0,0.00757615666379001,0.005350567986857934,0.41264201100872056,0.9524545629066006,0.08859929415391365,0.4417265536280549,2.1635500945864528,0.11325307308109787,0.39787656309486136,4.596815931272022
83717.01746785342,0.000231481,0.000231481,0.006466089040687608,2.311439036447585e-05,0.19824750425480475,3.1320863361808144,0.005,0.001,0.0,0.083333333,0.7795026910092565,0.6391925883197654,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.0281519023632998,0.06194565674431734,1.0,0.005707291698496875,0.0053681766441224365,0.7359698286629015,0.043439211136544816,0.2874726584823661,0.4327618023553547,3.1068972130933408,0.4395472133911129,0.33095190401973124,3.1903560906908064
87330.28696621487,0.000231481,0.000231481,0.0048001752742148,5.426580294637934e-05,0.9386945444708352,3.7250228340171945,0.005,0.001,0.0,0.083333333,0.9892801395824724,0.4473222944385921,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.09495444119293203,0.00015525793961586044,1.0,0.004444189523064428,0.007450283753253384,0.5300786853525955,0.8661208736185856,0.37252955480631,0.4058147935543752,2.8210713789301813,0.03880210340040113,0.18278230031911025,2.7339132681841867
95601.72491018244,0.000231481,0.000231481,0.003434294955413452,8.353688033742502e-05,0.8937107423059306,1.997648826903898,0.005,0.001,0.0,0.083333333,0.8069721885391458,0.6674398005093818,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.02061314478366013,0.0391391647510463,1.0,0.00760459474230939,0.00015299858840823078,0.8552026390144619,0.2613375515374734,0.005009618795209114,0.3917192512873472,3.4473704330082984,0.4797458907083483,0.16632388971606876,2.0541020431560564
