dateonunit_date,Susceptible,Colonized,Infected,SusceptibleX
8/11/1960,6,8,2,4
8/12/1960,3,8,2,8
8/13/1960,2,7,1,12
8/14/1960,3,10,1,10
8/15/1960,2,12,0,10
8/16/1960,3,13,0,9
8/17/1960,3,13,0,8
8/18/1960,4,13,0,11
8/19/1960,7,12,0,6
8/20/1960,5,12,0,8
8/21/1960,3,10,0,9
8/22/1960,3,10,0,9
8/23/1960,2,11,0,9
8/24/1960,1,11,0,7
8/25/1960,2,11,0,7
8/26/1960,4,10,0,7
8/27/1960,4,9,0,10
8/28/1960,2,8,0,14
8/29/1960,4,8,0,13
8/30/1960,5,8,0,12
8/31/1960,7,8,0,8
9/1/1960,4,9,2,8
9/2/1960,3,7,4,11
9/3/1960,4,7,4,11
9/4/1960,3,8,4,10
9/5/1960,3,9,4,10
9/6/1960,2,10,1,11
9/7/1960,3,8,1,14
9/8/1960,3,9,1,10
9/9/1960,2,10,1,10
9/10/1960,1,11,0,12
9/11/1960,0,10,0,14
9/12/1960,1,9,0,17
9/13/1960,3,9,0,15
9/14/1960,3,9,0,14
9/15/1960,4,11,0,9
9/16/1960,3,10,0,11
9/17/1960,3,12,0,11
9/18/1960,5,9,0,10
9/19/1960,4,10,0,9
9/20/1960,2,11,0,14
9/21/1960,3,11,0,14
9/22/1960,5,10,1,12
9/23/1960,5,9,0,14
9/24/1960,5,9,0,13
9/25/1960,4,5,0,13
9/26/1960,6,5,0,15
9/27/1960,8,5,0,14
9/28/1960,9,4,0,12
9/29/1960,10,3,0,15
9/30/1960,3,2,0,18
10/1/1960,3,3,0,18
10/2/1960,5,2,0,19
10/3/1960,6,2,0,20
10/4/1960,4,2,0,18
10/5/1960,4,1,0,21
10/6/1960,3,1,0,18
10/7/1960,4,2,0,18
10/8/1960,4,2,0,16
10/9/1960,7,2,0,15
10/10/1960,8,2,0,15
10/11/1960,7,4,0,14
10/12/1960,7,5,0,10
10/13/1960,4,4,0,14
10/14/1960,3,5,0,15
10/15/1960,5,3,0,14
10/16/1960,7,3,0,10
10/17/1960,8,4,0,11
10/18/1960,5,6,0,13
10/19/1960,5,6,0,13
10/20/1960,5,4,0,18
10/21/1960,7,2,0,15
10/22/1960,2,6,0,17
10/23/1960,4,6,0,15
10/24/1960,4,5,0,12
10/25/1960,3,6,0,16
10/26/1960,4,4,0,17
10/27/1960,4,5,0,17
10/28/1960,4,5,0,18
10/29/1960,2,5,0,16
10/30/1960,2,5,0,17
10/31/1960,1,5,0,18
11/1/1960,2,5,0,16
11/2/1960,1,6,0,17
11/3/1960,1,6,0,17
11/4/1960,4,7,0,17
11/5/1960,9,7,0,11
11/6/1960,9,7,0,9
11/7/1960,6,5,0,12
11/8/1960,4,5,0,14
11/9/1960,3,6,0,13
11/10/1960,5,6,0,13
11/11/1960,4,5,0,12
11/12/1960,5,5,0,13
11/13/1960,4,5,0,16
11/14/1960,4,3,0,16
11/15/1960,6,3,0,15
11/16/1960,5,3,0,15
11/17/1960,7,4,0,10
11/18/1960,6,3,0,15
11/19/1960,2,3,0,16
11/20/1960,3,3,0,18
11/21/1960,6,1,0,18
11/22/1960,2,2,0,20
11/23/1960,3,2,0,17
11/24/1960,5,2,0,15
11/25/1960,3,1,0,13
11/26/1960,1,2,0,16
11/27/1960,1,2,0,17
11/28/1960,2,2,0,19
11/29/1960,2,2,0,16
11/30/1960,1,2,0,19
12/1/1960,2,2,0,19
12/2/1960,3,1,0,16
12/3/1960,1,1,0,20
12/4/1960,1,1,0,19
12/5/1960,2,1,0,18
12/6/1960,3,1,0,16
12/7/1960,4,1,0,20
12/8/1960,2,2,1,17
12/9/1960,0,1,1,20
12/10/1960,1,1,1,21
12/11/1960,5,1,1,18
12/12/1960,6,1,2,16
12/13/1960,6,2,2,15
12/14/1960,6,1,1,17
12/15/1960,6,2,0,19
12/16/1960,6,2,1,17
12/17/1960,7,3,1,14
12/18/1960,3,2,1,15
12/19/1960,6,2,1,14
12/20/1960,4,3,1,17
12/21/1960,5,3,0,17
12/22/1960,4,3,1,20
12/23/1960,5,2,1,18
12/24/1960,2,1,1,19
12/25/1960,4,3,0,17
12/26/1960,4,3,1,18
12/27/1960,3,2,1,19
12/28/1960,4,2,0,21
12/29/1960,4,3,0,20
12/30/1960,4,3,0,15
12/31/1960,4,3,0,18
1/1/1961,3,3,0,19
1/2/1961,3,3,1,21
1/3/1961,6,2,1,17
1/4/1961,5,2,1,15
1/5/1961,2,2,1,16
1/6/1961,1,2,1,17
1/7/1961,1,3,0,18
1/8/1961,3,3,0,18
1/9/1961,2,7,0,15
1/10/1961,3,7,0,16
1/11/1961,3,6,0,16
1/12/1961,3,4,0,18
1/13/1961,4,3,0,18
1/14/1961,6,3,0,17
1/15/1961,5,3,0,19
1/16/1961,6,4,0,17
1/17/1961,4,3,0,17
1/18/1961,4,3,0,18
1/19/1961,5,2,0,17
1/20/1961,4,2,0,19
1/21/1961,3,2,0,16
1/22/1961,3,2,0,18
1/23/1961,4,2,0,18
1/24/1961,4,3,0,16
1/25/1961,4,4,0,17
1/26/1961,4,4,0,14
1/27/1961,5,5,0,14
1/28/1961,4,3,0,15
1/29/1961,4,3,0,16
1/30/1961,5,3,0,15
1/31/1961,7,4,0,15
2/1/1961,4,5,0,14
2/2/1961,5,6,0,15
2/3/1961,4,3,0,14
2/4/1961,4,3,0,15
2/5/1961,5,3,0,12
2/6/1961,3,5,0,12
2/7/1961,6,5,0,10
2/8/1961,5,3,0,13
2/9/1961,6,3,0,16
2/10/1961,4,3,0,15
2/11/1961,2,3,0,15
2/12/1961,2,1,1,19
2/13/1961,3,2,1,20
2/14/1961,3,3,1,20
2/15/1961,4,2,2,18
2/16/1961,1,2,3,20
2/17/1961,1,1,1,20
2/18/1961,1,0,0,22
2/19/1961,0,1,1,23
2/20/1961,2,2,1,21
2/21/1961,1,4,0,21
2/22/1961,2,3,0,18
2/23/1961,2,4,0,21
2/24/1961,3,3,1,19
2/25/1961,3,2,2,20
2/26/1961,0,1,1,22
2/27/1961,1,2,1,23
2/28/1961,1,2,0,22
3/1/1961,0,1,2,23
3/2/1961,0,0,3,24
3/3/1961,0,0,2,22
3/4/1961,1,2,2,22
3/5/1961,3,2,2,19
3/6/1961,4,1,2,19
3/7/1961,5,0,2,18
3/8/1961,3,0,2,17
3/9/1961,4,1,1,16
3/10/1961,3,3,0,17
3/11/1961,3,3,1,16
3/12/1961,3,3,1,20
3/13/1961,3,3,1,17
3/14/1961,1,6,1,21
3/15/1961,1,6,0,16
3/16/1961,0,6,0,13
3/17/1961,2,4,0,16
3/18/1961,4,4,0,16
3/19/1961,4,4,0,17
3/20/1961,2,4,0,20
3/21/1961,2,6,0,20
3/22/1961,4,7,0,19
3/23/1961,5,3,0,18
3/24/1961,4,4,0,16
3/25/1961,6,3,0,15
3/26/1961,7,3,0,15
3/27/1961,6,5,0,16
3/28/1961,4,5,0,18
3/29/1961,4,6,0,15
3/30/1961,5,6,0,14
3/31/1961,3,6,0,19
4/1/1961,1,6,1,12
4/2/1961,2,6,1,16
4/3/1961,2,5,1,15
4/4/1961,5,5,1,16
4/5/1961,4,4,1,20
4/6/1961,3,5,1,16
4/7/1961,4,4,1,17
4/8/1961,5,3,1,17
4/9/1961,2,7,0,19
4/10/1961,2,6,0,18
4/11/1961,3,8,0,17
4/12/1961,2,9,0,17
4/13/1961,3,8,0,16
4/14/1961,2,7,0,14
4/15/1961,1,4,0,20
4/16/1961,0,3,0,17
4/17/1961,2,3,0,19
4/18/1961,6,4,0,17
4/19/1961,6,4,0,18
4/20/1961,3,3,0,21
4/21/1961,3,4,0,18
4/22/1961,1,6,0,15
4/23/1961,2,7,0,15
4/24/1961,3,6,0,16
4/25/1961,3,8,0,15
4/26/1961,2,7,0,17
4/27/1961,4,6,0,17
4/28/1961,6,5,0,15
4/29/1961,5,5,0,16
4/30/1961,5,6,0,15
5/1/1961,4,7,0,12
5/2/1961,5,6,0,15
5/3/1961,6,6,0,16
5/4/1961,5,5,0,18
5/5/1961,2,6,0,18
5/6/1961,4,5,0,15
5/7/1961,6,5,0,14
5/8/1961,6,6,0,13
5/9/1961,5,8,0,14
5/10/1961,4,8,0,10
5/11/1961,3,6,0,14
5/12/1961,4,5,0,13
5/13/1961,4,5,0,13
5/14/1961,5,5,0,12
5/15/1961,6,6,0,15
5/16/1961,5,6,0,13
5/17/1961,5,5,0,13
5/18/1961,7,5,0,12
5/19/1961,5,5,1,13
5/20/1961,3,5,1,15
5/21/1961,1,5,1,14
