,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
omega_UC,0.0002,0.0,0.0002,0.0002,0.0,0.0,2.4082,2.4082,
omega_DC,0.0002,0.0,0.0002,0.0002,0.0,0.0,2.4082,2.4082,
omega_I,0.007,0.0012,0.0063,0.0089,0.0008,0.0007,2.4082,2.4082,
alpha_b,0.0001,0.0,0.0,0.0001,0.0,0.0,2.4082,2.4082,
rho,0.4288,0.1556,0.351,0.6622,0.1003,0.0819,2.4082,2.4082,
pi,2.4962,0.0789,2.3778,2.5356,0.0508,0.0415,2.4082,2.4082,
epsilon,0.005,0.0,0.005,0.005,0.0,0.0,2.4082,2.4082,
kappa,0.001,0.0,0.001,0.001,0.0,0.0,2.4082,2.4082,
delta,0.0,0.0,0.0,0.0,0.0,0.0,2.4082,2.4082,
sigma_h,0.0833,0.0,0.0833,0.0833,0.0,0.0,2.4082,2.4082,
sigmaHat_h,0.7249,0.0422,0.687,0.7853,0.0272,0.0222,2.4082,2.4082,
rho_C,0.1329,0.0,0.1329,0.1329,0.0,0.0,4.0,4.0,
sigma_y,0.007,0.0,0.007,0.007,0.0,0.0,2.4082,2.4082,
sigma_l,0.0104,0.0,0.0104,0.0104,0.0,0.0,2.4082,2.4082,
sigma_w,0.0,0.0,0.0,0.0,0.0,0.0,2.4082,2.4082,
sigmaHat_y,0.0417,0.0,0.0417,0.0417,0.0,0.0,4.0,4.0,
sigmaHat_l,0.8,0.0,0.8,0.8,0.0,0.0,2.4082,2.4082,
sigmaHat_w,0.0417,0.0,0.0417,0.0417,0.0,0.0,2.4082,2.4082,
beta_hp,0.0512,0.0042,0.0472,0.0568,0.0027,0.0022,2.4082,2.4082,
beta_ph,0.0484,0.0011,0.0478,0.05,0.0007,0.0006,2.4082,2.4082,
E50,1.0,0.0,1.0,1.0,0.0,0.0,2.4082,2.4082,
eta_p,0.0031,0.0003,0.0026,0.0032,0.0002,0.0001,2.4082,2.4082,
eta_h,0.006,0.0012,0.005,0.0071,0.0008,0.0006,2.4082,2.4082,
zeta,0.3065,0.1443,0.2187,0.52,0.093,0.0759,2.4082,2.4082,
xi,0.0845,0.0,0.0845,0.0845,0.0,0.0,4.0,4.0,
muAdmC,0.2414,0.0057,0.2386,0.25,0.0037,0.003,2.4082,2.4082,
sigmaAdmC,0.2119,0.1026,0.0599,0.2739,0.0661,0.054,2.4082,2.4082,
muAdmI,0.2592,0.0866,0.1292,0.3025,0.0558,0.0456,2.4082,2.4082,
sigmaAdmI,0.8545,0.0,0.8545,0.8545,0.0,0.0,4.0,4.0,
muTranC,0.4383,0.0223,0.4063,0.4583,0.0144,0.0118,2.4082,2.4082,
sigmaTranC,0.5015,0.001,0.5,0.502,0.0006,0.0005,2.4082,2.4082,
muTranI,0.4477,0.0097,0.4364,0.4601,0.0062,0.0051,2.4082,2.4082,
sigmaTranI,0.1083,0.092,0.0176,0.2046,0.0593,0.0484,2.4082,2.4082,
