error,omega_UC,omega_DC,omega_I,alpha_b,rho,pi,epsilon,kappa,delta,sigma_h,sigmaHat_h,rho_C,sigma_y,sigma_l,sigma_w,sigmaHat_y,sigmaHat_l,sigmaHat_w,beta_hp,beta_ph,E50,eta_p,eta_h,zeta,xi,admC,admI,admX_S,transC,transI,transX_S
141246.2623096396,0.000231481,0.000231481,0.006612825176094643,6.239807068458932e-05,0.33058828071607826,2.9315107583454734,0.005,0.001,0.0,0.083333333,0.7830656600668257,0.27858249291476833,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.03337307912596529,0.006554350725165559,1.0,0.001524880214974681,0.0024187685611832786,0.3031560271399705,0.9522778630699016,0.01,0.0,1.0,0.11,0.01,4.0
311807.08700704976,0.000231481,0.000231481,0.00932833770687955,3.202700290219352e-05,0.4054814237086543,1.0461106049688715,0.005,0.001,0.0,0.083333333,0.8640590730577496,0.2747985727194964,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.02294886057690361,0.047830227364407896,1.0,0.00011395630240313315,0.009892996071445887,0.4691705525672031,0.4424470890894797,0.01,0.0,1.0,0.11,0.01,4.0
378621.96350364713,0.000231481,0.000231481,0.002449179152413216,1.5428375619275025e-05,0.9221404029566964,1.3924588286041018,0.005,0.001,0.0,0.083333333,0.4174853806784867,0.5896799635189779,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.07112909227980473,0.005663260697010098,1.0,0.0013441244063289305,0.0005263519915476823,0.7483447714701368,0.9552052108183282,0.01,0.0,1.0,0.11,0.01,4.0
386981.6945050258,0.000231481,0.000231481,0.008401086922958082,1.7543122005045574e-05,0.991835163719652,2.7073706116131198,0.005,0.001,0.0,0.083333333,0.8401843004555207,0.15718463640188052,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.08330809573647135,0.03898062603559509,1.0,0.003500456354532293,0.003364126050309252,0.9290959134211764,0.6679149044013716,0.01,0.0,1.0,0.11,0.01,4.0
399155.26063572173,0.000231481,0.000231481,0.006712726890900531,7.908215803386486e-05,0.4296432381205949,1.4624437606668232,0.005,0.001,0.0,0.083333333,0.3132052013285651,0.006656374685479416,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.01386151856450464,0.08054766849779607,1.0,0.0069716625909381925,0.004488637151822629,0.671581945901804,0.7728729977937606,0.01,0.0,1.0,0.11,0.01,4.0
427336.50342857325,0.000231481,0.000231481,0.004138508502386019,4.137701183970072e-05,0.9043839146489284,1.845015969610904,0.005,0.001,0.0,0.083333333,0.8912622492360759,0.3561284896135856,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.023051079713264783,0.02391675122941344,1.0,0.0010898987257522363,0.0074023653406670486,0.04894558174145069,0.9944995118375723,0.01,0.0,1.0,0.11,0.01,4.0
429479.9569583432,0.000231481,0.000231481,0.006556796535105467,2.0450119862805552e-05,0.6459351981664838,2.52563209428088,0.005,0.001,0.0,0.083333333,0.9315826148861344,0.8317384891920494,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.0009837586382307915,0.0008385382622793869,1.0,0.0024226118020513176,0.002106865835781389,0.8291011381812408,0.09958834039139708,0.01,0.0,1.0,0.11,0.01,4.0
449941.61481408094,0.000231481,0.000231481,0.007479192067781605,5.6252714136611204e-05,0.16751474743688566,3.5686774864564423,0.005,0.001,0.0,0.083333333,0.655703221979842,0.07030949407314824,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.04459177112298915,0.027890611167371737,1.0,0.0007992609384636973,0.0072128268543891075,0.7604185173798508,0.3402701385018192,0.01,0.0,1.0,0.11,0.01,4.0
512527.5721238914,0.000231481,0.000231481,0.008738488757801477,9.254603079582295e-05,0.4291585479837955,3.2072823589670496,0.005,0.001,0.0,0.083333333,0.6795307523012839,0.07832162138326504,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.04074431138563885,0.0798791594878187,1.0,0.007716314256356949,0.005116068034671085,0.08305251106616296,0.8956830997087418,0.01,0.0,1.0,0.11,0.01,4.0
528720.6836399497,0.000231481,0.000231481,0.0051507505181882995,9.55962636003532e-05,0.3237914573574566,1.7325157016545718,0.005,0.001,0.0,0.083333333,0.8630426187817635,0.38659378340884654,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.02964984968685148,0.0418739263280096,1.0,0.003229604978849372,0.004289621693851241,0.32928463388137585,0.4407326877314448,0.01,0.0,1.0,0.11,0.01,4.0
536116.1765299346,0.000231481,0.000231481,0.005719825330046298,6.515443692251711e-05,0.05113579104120769,2.7621093993217762,0.005,0.001,0.0,0.083333333,0.4544128898675824,0.4729100866678905,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.0197969501655361,0.06355362678540975,1.0,0.0010914655937009589,0.002748918316731505,0.8154210813024225,0.2923308046083071,0.01,0.0,1.0,0.11,0.01,4.0
560611.9741424071,0.000231481,0.000231481,0.009532783193755664,4.353604657959486e-05,0.5834045140863399,2.35290166961818,0.005,0.001,0.0,0.083333333,0.4118115396410632,0.2326976743240551,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.016685108736161847,0.06756488582787377,1.0,0.005348750735477006,0.005552355128445511,0.09781329506911852,0.8383915117207851,0.01,0.0,1.0,0.11,0.01,4.0
