parameter,min,max
omega_UC,0.0001,0.0004
omega_DC,0.0001,0.0004
omega_I,0.001,0.01
alpha_b,0.00001,0.0001
rho,0,1
pi,1,4
epsilon,0,0.05
kappa,0,0.001
delta,0,0.01
sigma_h,0,0.2
sigmaHat_h,0,1
rho_C,0,1
sigma_y,0.001,0.01
sigma_l,0.005,0.05
sigma_w,0,0.01
sigmaHat_y,0,1
sigmaHat_l,0,1
sigmaHat_w,0,1
beta_hp,0,0.1
beta_ph,0,0.1
eta_p,0,0.01
eta_h,0,0.01
zeta,0,1
xi,0,1
lambda_n,0.1,3
lambda_d,0.1,3
lambda_py,0.1,3
lambda_pl,0.1,3
lambda_pw,0.1,3
lambda_ny,0.1,3
lambda_nl,0.1,3
lambda_nw,0.1,3
lambda_dy,0.1,3
lambda_dl,0.1,3
lambda_dw,0.1,3
r_n,0.1,0.5
r_d,0.01,0.5
psi,-0.1,0.1
n,-0.005,0.005
admC,0,0.5
admI,0,0.5
admX_S,0,5
transC,0,0.5
transI,0,0.5
transX_S,0,5
