dateonunit_date,UnitName,Susceptible,SusceptibleX,Colonized,Infected,admission,discharge,transfer_in,transfer_out
8/11/1960,INTUnit2,12,2,4,0,3,2,0,2
8/12/1960,INTUnit2,6,8,3,0,1,3,0,0
8/13/1960,INTUnit2,3,8,4,0,1,1,5,0
8/14/1960,INTUnit2,5,10,5,0,2,0,0,4
8/15/1960,INTUnit2,2,11,5,0,0,2,4,0
8/16/1960,INTUnit2,2,14,4,0,1,3,0,2
8/17/1960,INTUnit2,2,12,2,0,0,2,3,0
8/18/1960,INTUnit2,1,13,3,0,2,5,3,0
8/19/1960,INTUnit2,2,9,6,0,3,2,2,0
8/20/1960,INTUnit2,3,10,7,0,1,1,1,0
8/21/1960,INTUnit2,3,10,7,1,1,0,1,0
8/22/1960,INTUnit2,3,11,8,1,2,1,0,0
8/23/1960,INTUnit2,2,12,8,2,1,7,5,0
8/24/1960,INTUnit2,2,13,6,2,0,2,3,0
8/25/1960,INTUnit2,2,14,5,3,1,4,2,0
8/26/1960,INTUnit2,1,13,6,3,1,3,2,0
8/27/1960,INTUnit2,3,11,6,3,3,2,0,5
8/28/1960,INTUnit2,0,10,7,2,0,2,3,0
8/29/1960,INTUnit2,0,11,8,1,0,1,3,0
8/30/1960,INTUnit2,2,11,8,1,0,2,2,0
8/31/1960,INTUnit2,4,9,9,0,1,1,2,0
9/1/1960,INTUnit2,3,13,8,0,1,5,2,0
9/2/1960,INTUnit2,2,12,8,0,0,2,2,0
9/3/1960,INTUnit2,3,10,9,0,0,0,1,0
9/4/1960,INTUnit2,3,11,9,0,0,4,6,0
9/5/1960,INTUnit2,5,13,6,1,3,6,1,0
9/6/1960,INTUnit2,4,13,6,0,2,5,0,0
9/7/1960,INTUnit2,4,11,5,0,1,4,1,0
9/8/1960,INTUnit2,2,11,5,0,2,1,0,0
9/9/1960,INTUnit2,1,14,4,0,0,6,1,0
9/10/1960,INTUnit2,2,9,3,0,0,1,4,0
9/11/1960,INTUnit2,5,8,4,0,4,1,1,0
9/12/1960,INTUnit2,5,11,4,1,1,1,3,0
9/13/1960,INTUnit2,8,11,5,0,2,6,3,0
9/14/1960,INTUnit2,7,12,4,0,3,7,2,0
9/15/1960,INTUnit2,4,14,3,0,2,5,0,0
9/16/1960,INTUnit2,4,12,2,0,1,1,6,0
9/17/1960,INTUnit2,4,18,2,0,0,8,5,0
9/18/1960,INTUnit2,4,15,1,1,1,3,2,0
9/19/1960,INTUnit2,5,12,3,1,2,1,0,1
9/20/1960,INTUnit2,4,11,5,1,1,4,2,0
9/21/1960,INTUnit2,3,12,4,1,0,3,4,0
