,dateonunit_date,UnitName,Susceptible,SusceptibleX,Colonized,Infected,SusceptibleX,admission,discharge,transfer_in,transfer_out
0,8/11/1961,INTUnit4,1,10,1,2,10,2,3,0,1
1,8/12/1961,INTUnit4,0,9,1,2,9,1,2,6,0
2,8/13/1961,INTUnit4,2,12,1,2,12,7,2,0,5
3,8/14/1961,INTUnit4,2,12,1,2,12,2,6,2,0
4,8/15/1961,INTUnit4,2,10,1,2,10,4,1,0,2
5,8/16/1961,INTUnit4,2,11,1,2,11,3,3,4,0
6,8/17/1961,INTUnit4,6,11,2,1,11,6,4,0,1
7,8/18/1961,INTUnit4,6,11,3,1,11,5,7,0,2
8,8/19/1961,INTUnit4,3,10,3,1,10,3,5,3,0
9,8/20/1961,INTUnit4,2,12,3,1,12,6,4,0,3
10,8/21/1961,INTUnit4,2,12,2,1,12,3,2,4,0
11,8/22/1961,INTUnit4,4,14,3,1,14,7,4,0,3
12,8/23/1961,INTUnit4,5,13,3,1,13,4,8,3,0
13,8/24/1961,INTUnit4,5,13,2,1,13,7,5,0,6
14,8/25/1961,INTUnit4,3,11,2,1,11,1,5,0,0
15,8/26/1961,INTUnit4,2,8,3,0,8,1,2,7,0
16,8/27/1961,INTUnit4,5,11,3,0,11,8,3,0,0
17,8/28/1961,INTUnit4,10,10,4,0,10,8,7,0,2
18,8/29/1961,INTUnit4,7,12,4,0,12,6,6,0,1
19,8/30/1961,INTUnit4,4,14,4,0,14,5,7,0,0
20,8/31/1961,INTUnit4,5,12,3,0,12,5,4,0,4
21,9/1/1961,INTUnit4,4,10,3,0,10,2,6,1,0
22,9/2/1961,INTUnit4,3,8,3,0,8,2,2,3,0
23,9/3/1961,INTUnit4,5,9,3,0,9,5,2,1,0
24,9/4/1961,INTUnit4,7,11,3,0,11,6,5,1,0
25,9/5/1961,INTUnit4,9,11,2,1,11,7,7,0,3
26,9/6/1961,INTUnit4,9,8,2,1,8,4,4,1,0
27,9/7/1961,INTUnit4,9,9,2,1,9,5,5,0,5
28,9/8/1961,INTUnit4,5,8,1,2,8,0,3,1,0
29,9/9/1961,INTUnit4,2,9,1,2,9,1,3,5,0
30,9/10/1961,INTUnit4,3,11,1,2,11,6,3,0,0
31,9/11/1961,INTUnit4,4,12,2,2,12,6,5,0,2
32,9/12/1961,INTUnit4,1,14,2,2,14,4,5,1,0
33,9/13/1961,INTUnit4,1,15,2,1,15,6,5,0,3
34,9/14/1961,INTUnit4,2,13,1,1,13,2,3,0,1
35,9/15/1961,INTUnit4,2,11,1,1,11,1,4,0,0
36,9/16/1961,INTUnit4,0,10,2,0,10,1,3,4,0
37,9/17/1961,INTUnit4,1,9,3,1,9,5,1,0,0
38,9/18/1961,INTUnit4,2,11,4,1,11,5,4,0,1
39,9/19/1961,INTUnit4,2,12,3,1,12,4,5,0,0
40,9/20/1961,INTUnit4,4,10,2,1,10,4,6,3,0
41,9/21/1961,INTUnit4,4,11,2,1,11,7,4,0,5
42,9/22/1961,INTUnit4,2,11,2,1,11,2,5,0,1
43,9/23/1961,INTUnit4,1,8,2,1,8,1,3,3,0
44,9/24/1961,INTUnit4,4,7,2,0,7,4,2,3,0
45,9/25/1961,INTUnit4,5,11,2,0,11,7,3,0,2
46,9/26/1961,INTUnit4,7,11,2,0,11,5,5,0,2
47,9/27/1961,INTUnit4,6,10,2,0,10,3,5,0,0
48,9/28/1961,INTUnit4,5,9,2,0,9,3,3,0,2
49,9/29/1961,INTUnit4,3,9,2,0,9,1,3,0,1
50,9/30/1961,INTUnit4,0,9,2,0,9,0,2,4,0
51,10/1/1961,INTUnit4,3,8,2,0,8,4,0,0,0
52,10/2/1961,INTUnit4,3,12,2,0,12,4,3,0,1
53,10/3/1961,INTUnit4,2,13,2,0,13,3,3,1,0
54,10/4/1961,INTUnit4,4,12,2,0,12,4,4,0,1
55,10/5/1961,INTUnit4,4,11,2,0,11,3,4,0,1
56,10/6/1961,INTUnit4,2,11,2,0,11,2,5,0,1
57,10/7/1961,INTUnit4,0,9,2,0,9,1,1,3,0
58,10/8/1961,INTUnit4,0,13,1,0,13,4,2,0,2
59,10/9/1961,INTUnit4,2,11,1,0,11,2,3,0,0
60,10/10/1961,INTUnit4,2,10,1,0,10,2,2,2,0
61,10/11/1961,INTUnit4,2,12,1,0,12,4,3,1,0
62,10/12/1961,INTUnit4,5,10,2,0,10,5,4,0,5
63,10/13/1961,INTUnit4,4,8,1,0,8,0,3,2,0
64,10/14/1961,INTUnit4,0,10,2,0,10,2,1,0,0
65,10/15/1961,INTUnit4,0,11,2,0,11,2,4,1,0
66,10/16/1961,INTUnit4,0,10,2,0,10,3,1,4,0
67,10/17/1961,INTUnit4,4,13,1,0,13,7,4,0,0
68,10/18/1961,INTUnit4,5,15,1,0,15,8,7,0,2
69,10/19/1961,INTUnit4,4,15,1,0,15,5,7,0,5
70,10/20/1961,INTUnit4,3,9,1,0,9,0,6,4,0
71,10/21/1961,INTUnit4,5,4,2,0,4,4,2,4,0
72,10/22/1961,INTUnit4,4,11,2,0,11,8,2,0,5
73,10/23/1961,INTUnit4,4,11,3,0,11,3,5,4,0
74,10/24/1961,INTUnit4,8,9,3,0,9,7,5,0,4
75,10/25/1961,INTUnit4,6,10,2,0,10,3,6,2,0
76,10/26/1961,INTUnit4,6,9,2,0,9,5,2,0,4
77,10/27/1961,INTUnit4,7,7,2,0,7,1,6,0,1
78,10/28/1961,INTUnit4,2,6,2,0,6,0,3,9,0
79,10/29/1961,INTUnit4,7,7,2,0,7,9,1,0,4
80,10/30/1961,INTUnit4,9,9,2,0,9,5,6,2,0
81,10/31/1961,INTUnit4,8,11,2,0,11,7,6,0,3
82,11/1/1961,INTUnit4,6,11,2,0,11,4,5,2,0
83,11/2/1961,INTUnit4,5,13,2,0,13,6,3,0,5
84,11/3/1961,INTUnit4,5,11,2,0,11,1,5,0,0
85,11/4/1961,INTUnit4,3,9,2,0,9,1,2,8,0
86,11/5/1961,INTUnit4,8,11,2,0,11,9,3,0,5
87,11/6/1961,INTUnit4,9,11,2,0,11,4,5,2,0
88,11/7/1961,INTUnit4,7,14,2,0,14,7,7,0,1
89,11/8/1961,INTUnit4,5,16,1,0,16,5,3,0,2
90,11/9/1961,INTUnit4,4,17,1,0,17,3,3,0,1
91,11/10/1961,INTUnit4,2,18,1,0,18,2,3,0,1
92,11/11/1961,INTUnit4,1,17,1,0,17,1,5,3,0
93,11/12/1961,INTUnit4,1,16,1,0,16,4,1,5,0
94,11/13/1961,INTUnit4,6,19,1,0,19,9,6,0,3
95,11/14/1961,INTUnit4,10,15,1,0,15,6,7,0,0
96,11/15/1961,INTUnit4,12,12,1,0,12,6,9,1,0
97,11/16/1961,INTUnit4,11,11,1,0,11,7,6,0,6
98,11/17/1961,INTUnit4,7,10,1,0,10,1,5,3,0
99,11/18/1961,INTUnit4,5,10,1,1,10,3,4,4,0
100,11/19/1961,INTUnit4,5,13,1,1,13,7,5,0,2
101,11/20/1961,INTUnit4,4,14,1,1,14,5,3,5,0
102,11/21/1961,INTUnit4,6,19,1,1,19,10,9,0,2
103,11/22/1961,INTUnit4,9,15,1,1,15,8,9,0,2
104,11/23/1961,INTUnit4,10,11,1,1,11,6,11,0,4
105,11/24/1961,INTUnit4,7,6,0,1,6,2,3,0,1
