,dateonunit_date,UnitName,Susceptible,SusceptibleX,Colonized,Infected,admission,discharge,transfer_in,transfer_out
0,8/11/1961,INTUnit6,0,12,0,0,1,2,0,0
1,8/12/1961,INTUnit6,0,11,0,0,1,0,1,0
2,8/13/1961,INTUnit6,0,13,0,0,2,5,0,2
3,8/14/1961,INTUnit6,0,8,0,0,0,0,3,0
4,8/15/1961,INTUnit6,0,11,0,0,3,3,0,0
5,8/16/1961,INTUnit6,0,11,0,0,3,3,3,0
6,8/17/1961,INTUnit6,1,12,1,0,6,4,0,6
7,8/18/1961,INTUnit6,1,8,1,0,0,5,0,0
8,8/19/1961,INTUnit6,0,4,1,0,0,1,5,0
9,8/20/1961,INTUnit6,1,8,0,0,5,1,0,3
10,8/21/1961,INTUnit6,2,8,0,0,2,2,1,0
11,8/22/1961,INTUnit6,1,10,0,0,3,3,0,1
12,8/23/1961,INTUnit6,0,10,0,0,2,3,4,0
13,8/24/1961,INTUnit6,3,10,0,0,6,5,0,5
14,8/25/1961,INTUnit6,3,6,0,0,1,5,0,1
15,8/26/1961,INTUnit6,0,4,0,0,0,0,4,0
16,8/27/1961,INTUnit6,1,7,0,0,4,2,1,0
17,8/28/1961,INTUnit6,4,7,0,0,5,2,0,1
18,8/29/1961,INTUnit6,3,10,0,0,5,3,0,0
19,8/30/1961,INTUnit6,1,14,0,0,4,5,0,0
20,8/31/1961,INTUnit6,0,14,0,0,4,5,0,3
21,9/1/1961,INTUnit6,0,10,0,0,1,3,0,0
22,9/2/1961,INTUnit6,0,8,0,0,1,3,5,0
23,9/3/1961,INTUnit6,2,9,0,0,6,0,0,3
24,9/4/1961,INTUnit6,1,12,1,0,3,3,0,1
25,9/5/1961,INTUnit6,0,12,1,0,2,4,1,0
26,9/6/1961,INTUnit6,0,12,0,0,3,3,2,0
27,9/7/1961,INTUnit6,2,12,0,0,5,5,0,5
28,9/8/1961,INTUnit6,2,7,0,0,0,3,2,0
29,9/9/1961,INTUnit6,0,8,0,0,2,3,2,0
30,9/10/1961,INTUnit6,0,9,0,0,4,0,0,3
31,9/11/1961,INTUnit6,0,10,0,0,1,5,1,0
32,9/12/1961,INTUnit6,0,7,0,0,2,3,0,0
33,9/13/1961,INTUnit6,0,6,0,0,2,0,0,0
34,9/14/1961,INTUnit6,1,7,0,0,3,1,0,1
35,9/15/1961,INTUnit6,2,7,0,0,2,4,0,1
36,9/16/1961,INTUnit6,1,5,0,0,1,3,4,0
37,9/17/1961,INTUnit6,0,7,1,0,5,1,0,2
38,9/18/1961,INTUnit6,0,9,1,0,3,2,6,0
39,9/19/1961,INTUnit6,1,15,1,0,8,5,0,4
40,9/20/1961,INTUnit6,2,14,0,0,4,6,0,0
41,9/21/1961,INTUnit6,3,11,0,0,5,4,0,4
42,9/22/1961,INTUnit6,2,9,0,0,1,1,0,1
43,9/23/1961,INTUnit6,0,10,0,0,0,1,2,0
44,9/24/1961,INTUnit6,1,10,0,0,2,2,1,0
45,9/25/1961,INTUnit6,2,10,0,0,3,3,4,0
46,9/26/1961,INTUnit6,1,15,0,0,7,5,0,3
47,9/27/1961,INTUnit6,0,15,0,0,4,4,0,0
48,9/28/1961,INTUnit6,2,13,0,0,4,4,0,4
49,9/29/1961,INTUnit6,2,9,0,0,0,3,1,0
50,9/30/1961,INTUnit6,0,9,0,0,1,0,0,0
51,10/1/1961,INTUnit6,0,10,0,0,1,3,3,0
52,10/2/1961,INTUnit6,0,11,0,0,4,3,1,0
53,10/3/1961,INTUnit6,0,13,0,0,5,3,0,1
54,10/4/1961,INTUnit6,2,12,0,0,4,3,0,0
55,10/5/1961,INTUnit6,2,13,0,0,4,6,0,0
56,10/6/1961,INTUnit6,0,13,0,0,4,2,0,3
57,10/7/1961,INTUnit6,0,12,0,0,1,2,3,0
58,10/8/1961,INTUnit6,1,13,0,0,4,3,0,2
59,10/9/1961,INTUnit6,1,12,0,0,2,3,0,0
60,10/10/1961,INTUnit6,0,12,0,0,2,3,0,0
61,10/11/1961,INTUnit6,0,11,0,0,2,3,3,0
62,10/12/1961,INTUnit6,0,13,0,0,5,1,0,4
63,10/13/1961,INTUnit6,0,13,0,0,1,3,0,0
64,10/14/1961,INTUnit6,0,11,0,0,1,3,0,0
65,10/15/1961,INTUnit6,0,9,0,0,1,2,5,0
66,10/16/1961,INTUnit6,0,13,0,0,6,1,0,4
67,10/17/1961,INTUnit6,1,13,0,0,2,3,1,0
68,10/18/1961,INTUnit6,1,13,0,0,3,3,2,0
69,10/19/1961,INTUnit6,0,16,0,0,5,2,0,3
70,10/20/1961,INTUnit6,1,15,0,0,2,4,0,2
71,10/21/1961,INTUnit6,0,12,0,0,2,3,4,0
72,10/22/1961,INTUnit6,0,15,0,0,6,3,0,2
73,10/23/1961,INTUnit6,1,14,1,0,3,5,4,0
74,10/24/1961,INTUnit6,2,15,1,0,7,7,0,2
75,10/25/1961,INTUnit6,1,14,1,0,4,4,0,1
76,10/26/1961,INTUnit6,0,14,1,0,3,4,0,2
77,10/27/1961,INTUnit6,0,12,0,0,1,3,0,0
78,10/28/1961,INTUnit6,0,10,0,0,1,1,2,0
79,10/29/1961,INTUnit6,1,11,0,0,3,2,0,0
80,10/30/1961,INTUnit6,2,11,0,0,3,2,1,0
